model,f1_cv,accuracy,precision,recall,f1,roc_auc,brier
LightGBM,0.7018,0.9989,0.9939,0.9939,0.9939,0.9998,0.0017
RandomForest,0.6904,0.9663,0.8118,0.8364,0.8239,0.9898,0.037
XGBoost,0.6877,0.9971,0.9878,0.9818,0.9848,0.9997,0.0034
